meat_type,fat_content_pct,protein_pct,marbling_score,animal_age_months,storage_days,organic,cut_quality,price_eur_per_kg
5,4.2,20.6,9,47,13,0,1,30.73
3,8.7,22.0,4,21,16,1,1,17.98
1,2.6,19.5,3,51,20,0,2,6.38
5,17.0,23.2,10,4,17,0,5,36.04
4,22.9,18.7,7,9,2,1,1,29.37
4,13.3,18.6,8,59,10,0,5,31.29
1,15.9,16.4,5,48,9,1,1,12.54
2,33.7,17.1,5,14,10,0,4,17.37
4,26.8,24.4,4,32,11,0,2,20.58
5,19.8,19.9,8,5,15,0,5,36.56
3,11.4,17.5,3,49,8,0,3,19.15
5,31.6,23.4,10,54,5,0,2,29.74
5,9.8,21.1,2,21,9,1,2,31.73
2,12.7,15.2,5,26,17,0,5,16.6
5,32.0,18.5,4,18,6,0,3,27.37
2,19.5,16.9,7,29,0,1,2,21.02
2,26.5,22.2,7,21,20,0,4,16.14
4,21.5,18.0,10,19,4,0,3,30.59
4,23.6,15.7,8,32,12,1,4,34.97
1,11.9,15.6,3,62,16,1,3,9.98
5,10.0,21.4,3,55,5,0,1,25.48
1,12.6,15.2,9,22,7,0,1,12.15
5,7.1,24.3,5,67,5,0,1,27.23
1,30.9,16.7,1,16,3,1,3,14.58
4,11.3,21.7,9,65,3,0,3,26.96
4,20.5,19.9,7,23,3,1,4,35.23
4,28.1,19.9,1,39,9,0,5,27.6
4,27.9,15.8,8,16,11,0,1,23.92
3,16.5,23.8,7,55,0,1,5,34.35
4,17.7,24.8,7,24,17,0,5,32.64
2,34.8,15.1,9,63,14,0,4,16.64
4,24.3,17.0,5,7,1,1,3,29.06
3,28.9,24.9,5,37,17,1,1,18.74
3,31.8,21.0,7,13,0,0,1,19.7
3,28.0,16.7,2,64,11,1,1,16.88
3,8.1,17.2,2,31,9,1,4,27.85
1,20.6,22.3,9,49,10,1,3,19.16
1,5.4,23.0,3,63,20,0,1,3.58
2,23.5,21.6,6,39,19,1,1,10.6
1,33.5,25.5,3,6,5,0,1,8.4
3,18.9,20.4,3,17,12,1,4,28.13
4,16.3,18.3,6,16,20,1,4,28.86
4,3.2,20.2,9,65,15,0,4,24.82
3,33.7,19.0,5,65,18,1,1,14.65
5,5.4,17.5,2,35,9,0,1,26.07
3,3.4,15.5,3,64,5,0,1,15.81
1,10.1,18.9,2,19,10,1,4,18.44
4,4.2,22.8,9,49,17,1,4,31.4
3,17.0,15.2,4,29,19,1,2,19.2
4,19.0,19.8,4,18,14,1,1,25.44
3,12.3,22.1,1,19,14,1,2,25.59
3,3.7,21.7,5,31,10,0,5,26.75
1,5.7,23.5,10,25,6,1,1,16.43
3,14.7,23.9,5,16,8,0,4,25.12
4,4.0,22.8,7,25,10,0,3,31.28
2,25.0,16.1,2,11,17,0,1,8.99
4,8.8,20.2,2,69,11,0,5,28.16
1,12.0,21.6,8,28,16,0,3,12.49
2,15.0,17.7,1,9,0,1,4,20.98
3,15.7,15.5,5,42,15,1,1,18.66
5,2.1,17.5,4,63,10,0,2,27.09
2,5.7,20.0,1,27,20,0,4,14.79
2,30.5,19.6,6,61,9,1,4,13.91
3,2.0,16.9,10,44,10,0,1,22.64
5,18.8,24.1,1,53,2,1,4,35.0
5,18.2,25.2,9,22,16,1,5,39.86
1,13.0,17.2,6,4,14,0,4,14.65
2,16.2,25.2,8,26,18,1,2,19.23
5,27.8,15.2,1,66,1,1,5,32.69
1,29.8,25.2,9,57,4,1,4,19.86
5,10.6,25.5,1,56,18,0,1,23.31
2,12.6,15.1,10,63,0,1,1,16.24
5,10.0,23.4,7,28,10,1,5,43.31
2,17.8,25.7,4,24,8,0,2,13.62
3,24.5,25.0,1,66,19,1,1,19.02
4,9.5,25.7,7,42,17,1,3,30.39
1,12.9,21.1,1,22,18,0,3,10.45
3,32.7,15.9,7,21,6,0,3,23.97
3,3.6,24.3,8,63,12,1,4,31.72
4,17.2,21.8,3,5,14,0,5,28.63
5,25.5,21.8,3,6,20,1,4,30.68
4,7.0,19.6,3,53,0,0,1,19.69
3,3.6,21.3,3,2,20,1,1,17.63
3,6.6,16.7,2,13,7,1,1,22.1
3,32.3,23.1,3,71,2,1,2,20.97
5,2.3,15.8,7,31,12,1,2,35.38
2,8.2,23.0,4,52,16,0,5,16.68
1,3.0,24.3,8,36,2,0,2,14.14
2,5.7,20.2,9,8,0,1,1,18.48
1,22.5,20.6,8,14,18,1,5,22.8
1,10.0,18.4,6,55,19,0,2,6.55
1,20.8,25.7,4,8,3,1,5,22.31
4,21.5,23.1,10,43,18,1,4,33.56
4,30.0,19.1,3,26,19,0,5,23.99
4,2.2,16.9,5,27,20,0,5,26.76
3,30.2,17.4,5,68,4,1,1,17.64
4,22.4,20.1,8,44,12,1,4,34.65
1,7.4,25.4,6,45,20,0,3,11.71
5,27.5,23.1,8,26,18,1,4,38.01
3,30.2,17.4,10,28,12,1,4,29.75
5,10.4,24.5,4,50,4,0,3,29.02
1,32.3,19.2,9,4,1,0,2,10.82
3,17.0,24.4,2,18,5,1,5,32.62
4,21.9,17.7,10,44,1,0,4,31.75
3,34.5,21.8,2,45,4,0,5,25.2
3,13.9,25.2,9,8,1,0,2,25.47
1,28.8,17.8,4,57,16,1,5,13.66
2,12.5,22.6,10,39,12,0,2,18.27
2,28.4,25.9,2,18,10,1,3,17.01
2,21.8,16.7,5,54,17,1,5,17.68
4,9.1,16.0,10,71,8,0,2,24.44
4,15.7,22.4,1,31,8,0,2,26.49
4,12.5,18.7,3,21,4,0,5,29.92
2,4.6,15.8,1,22,9,0,5,20.02
5,3.0,20.2,4,43,3,1,2,31.47
1,13.4,23.3,4,5,12,1,2,14.56
2,2.6,18.1,7,35,20,1,2,17.21
1,7.5,18.7,3,3,11,1,1,12.58
2,25.9,24.3,2,4,6,1,3,17.18
5,25.4,20.7,2,32,14,1,2,28.7
2,26.4,24.3,10,54,17,1,5,21.12
5,12.5,19.9,10,63,9,0,1,28.6
3,31.4,25.5,3,8,5,1,4,28.61
4,21.6,22.2,2,19,14,0,3,27.38
3,6.2,16.3,1,31,3,1,4,28.82
2,6.7,24.7,10,42,20,0,1,13.78
4,24.9,20.4,8,71,6,1,3,30.18
5,7.7,16.6,8,49,7,1,4,37.53
2,18.7,16.7,3,39,15,0,2,9.03
4,34.7,22.6,7,6,0,1,5,35.43
2,2.1,15.5,1,7,4,1,3,19.24
4,2.5,18.2,7,12,2,1,2,31.13
4,34.8,16.5,6,48,8,0,1,18.76
3,21.3,19.9,4,25,11,1,1,19.63
4,6.2,19.6,8,18,3,1,3,34.74
2,31.6,20.7,7,48,7,0,3,15.88
1,31.1,18.1,5,59,16,0,5,11.14
1,19.7,15.4,2,32,19,1,4,14.14
3,22.5,21.8,1,63,0,0,1,15.55
5,11.0,19.1,10,53,13,0,3,30.84
1,3.7,22.2,3,52,0,1,3,15.89
3,21.6,16.2,4,62,10,0,1,15.32
4,11.7,15.2,7,14,18,0,4,27.94
2,23.9,17.7,3,55,16,0,3,9.0
4,29.6,20.0,4,69,4,0,1,17.32
2,2.6,19.3,8,71,5,0,3,17.67
5,21.7,23.9,6,42,16,1,4,36.25
3,9.6,19.2,7,54,17,1,2,22.35
3,30.8,20.8,1,64,5,1,2,19.58
1,10.4,21.5,5,61,0,0,1,5.17
3,22.2,15.2,5,64,9,0,2,18.13
5,20.3,20.7,7,60,13,1,5,40.08
1,15.1,18.8,2,28,9,0,4,15.17
4,24.4,19.6,2,53,19,1,1,20.51
3,26.0,16.1,8,30,17,0,3,21.89
4,20.7,23.6,7,58,16,1,1,24.53
4,27.0,25.4,9,58,0,1,3,30.9
3,34.5,15.2,3,67,17,1,1,14.16
2,15.8,21.6,10,43,15,0,4,18.04
4,19.0,23.4,3,35,8,0,3,26.53
1,2.4,18.1,7,13,12,1,4,21.85
3,28.3,23.7,2,46,17,0,3,19.99
1,19.2,22.0,10,41,19,1,2,16.65
4,15.5,25.2,4,38,11,0,2,25.04
4,5.1,25.8,9,49,0,1,2,30.19
1,31.4,15.5,4,61,12,0,3,10.06
4,15.0,19.9,8,12,14,1,3,34.14
3,24.5,21.0,5,32,1,1,4,27.72
4,6.9,16.6,1,52,17,1,1,19.48
1,33.7,18.7,2,59,4,0,2,5.73
1,7.9,25.9,7,56,18,0,5,17.62
3,8.6,15.2,2,57,11,0,5,24.44
1,30.3,20.0,3,61,6,1,5,16.35
2,32.1,24.3,6,69,1,0,2,11.06
4,9.0,18.6,3,44,0,1,1,23.65
1,17.5,20.3,2,19,15,0,1,4.3
4,26.2,25.8,7,41,7,0,1,23.81
1,31.0,20.2,7,51,17,1,5,16.65
1,14.5,16.4,8,9,4,0,5,22.6
3,19.1,15.6,10,54,19,0,5,26.8
4,26.5,25.4,2,40,19,1,4,28.06
1,26.1,17.9,5,67,2,1,2,9.19
2,27.8,20.5,3,16,13,1,3,15.87
5,20.8,16.0,10,65,19,1,5,36.34
5,5.5,19.7,6,33,6,1,5,39.13
3,31.8,25.2,1,42,1,1,3,25.49
3,30.6,20.5,7,48,18,0,5,26.53
2,28.3,25.7,1,42,9,0,2,11.73
4,5.3,17.8,3,65,0,0,3,23.49
3,8.7,20.5,8,13,17,1,5,31.64
2,26.5,24.5,6,53,14,1,2,14.11
1,2.8,19.9,8,70,1,0,4,15.62
1,34.3,18.1,6,17,5,1,3,14.19
5,14.4,24.4,9,19,0,0,2,33.88
3,25.7,19.3,6,35,20,1,2,17.55
3,31.3,20.8,1,52,0,1,4,22.13
3,15.0,25.7,1,69,16,1,3,22.49
4,12.5,17.1,8,57,10,1,2,30.06
1,22.1,18.3,1,57,12,1,4,17.64
1,21.2,15.3,4,32,17,0,1,5.48
2,15.5,19.3,1,47,18,0,1,9.27
3,21.9,17.2,4,16,2,1,5,30.47
4,32.9,22.5,6,34,0,0,4,27.56
3,17.4,17.0,2,15,2,0,3,22.24
3,8.5,22.4,5,3,14,0,1,19.29
5,14.4,17.9,10,61,11,1,3,35.56
1,15.0,18.9,1,58,1,1,3,12.45
3,6.3,18.8,1,37,4,1,3,27.13
3,7.4,22.9,3,3,11,1,1,22.69
3,24.6,20.1,9,8,15,1,3,26.46
5,13.2,19.0,5,9,7,1,3,33.16
2,33.5,24.4,7,52,19,1,2,14.24
5,10.0,21.3,1,16,20,0,1,24.61
2,5.3,17.4,8,19,16,1,5,25.68
3,26.9,24.9,1,62,9,0,4,20.47
3,31.1,18.8,8,63,18,1,4,24.52
5,11.2,15.4,2,55,15,1,4,30.47
3,8.7,20.4,9,23,10,1,4,33.09
2,8.1,16.4,3,42,9,1,1,14.43
1,19.2,17.6,2,16,17,1,3,12.59
2,17.5,23.2,4,62,11,1,5,22.56
5,10.6,16.4,1,7,3,0,2,28.02
1,3.5,23.9,2,54,20,0,5,14.79
5,17.9,25.3,6,37,1,1,1,31.64
3,33.7,21.7,4,55,14,1,2,19.94
1,23.5,22.8,4,33,13,0,2,9.77
2,18.4,22.8,9,13,12,1,4,26.25
3,5.7,25.9,2,54,1,1,1,22.87
2,10.3,18.8,4,46,10,1,2,17.46
1,11.7,16.8,2,34,18,0,4,10.32
4,27.2,20.7,5,28,5,1,2,24.15
4,30.9,20.9,4,26,14,0,5,26.54
1,31.8,17.0,1,35,18,0,5,12.87
2,34.5,21.7,1,20,19,1,2,11.1
2,34.4,15.2,9,21,10,1,3,19.49
4,33.4,25.2,1,21,6,0,2,22.43
4,4.4,17.9,8,2,14,0,2,25.31
4,6.5,15.4,10,66,10,0,4,28.93
5,12.0,16.2,5,18,13,1,2,31.93
4,20.2,17.6,4,13,15,1,1,22.38
2,5.2,18.0,8,12,14,0,2,15.35
1,29.9,15.4,10,71,5,0,5,16.2
4,22.4,18.1,2,35,15,1,2,24.71
5,19.9,17.1,10,24,11,0,2,31.24
5,7.5,19.2,10,30,19,0,4,33.98
2,10.4,19.2,2,8,13,0,1,10.75
2,7.3,18.7,1,23,18,1,2,14.77
1,30.1,18.6,8,19,20,0,1,6.52
1,21.3,16.0,1,58,20,0,5,11.86
3,26.3,15.3,7,6,15,0,5,26.18
3,11.8,17.2,1,31,12,0,4,23.74
2,14.3,23.3,7,57,2,0,2,16.22
2,15.4,25.9,3,60,8,0,4,16.44
5,27.1,25.2,1,37,9,0,4,31.69
3,27.5,20.5,1,17,16,0,5,22.18
5,8.8,20.9,2,25,12,0,1,26.64
5,33.1,18.5,6,17,9,1,4,33.2
2,6.0,23.5,1,48,3,0,1,12.31
2,31.6,23.4,9,22,15,1,3,19.79
5,5.3,24.3,7,46,9,1,5,43.33
4,10.7,24.9,3,47,0,1,1,26.32
2,29.9,19.8,10,67,5,1,1,13.55
4,7.9,23.4,7,27,18,1,5,35.95
3,15.6,23.9,7,69,2,0,1,20.4
5,16.8,18.4,2,30,8,0,4,33.93
2,10.1,25.2,8,49,10,0,3,17.98
5,25.4,16.0,6,48,1,1,2,30.22
5,30.1,25.9,10,59,3,1,5,39.0
1,30.9,23.5,5,34,19,1,5,16.0
1,13.2,16.0,7,57,12,1,2,16.87
3,19.5,22.2,4,26,4,0,1,20.5
1,10.2,15.4,1,36,3,0,1,8.37
2,10.1,23.5,2,36,8,0,1,12.81
3,7.3,23.8,9,51,15,0,5,27.27
5,33.0,21.6,8,45,15,1,3,32.59
5,31.3,24.4,4,7,4,0,4,31.27
1,27.7,16.1,7,58,15,1,2,11.12
5,19.1,18.0,1,55,18,1,5,32.95
1,18.2,19.6,1,9,4,0,4,15.99
4,19.5,15.5,6,69,0,1,4,29.05
5,19.7,19.9,7,48,20,0,3,31.62
5,16.3,17.9,10,7,10,1,4,40.91
2,6.3,19.3,8,36,16,1,3,19.62
5,6.1,19.7,3,60,6,0,2,26.16
1,33.4,24.7,9,21,6,1,3,19.08
3,17.9,18.0,5,67,4,0,2,19.12
3,33.5,24.8,9,31,4,1,5,32.97
2,7.4,19.7,2,17,9,0,4,17.2
1,20.3,18.6,1,26,2,0,4,14.81
4,8.9,20.5,1,38,17,0,4,25.49
2,10.4,19.6,10,50,10,0,3,17.02
4,3.0,17.8,1,66,19,0,5,26.45
3,5.9,20.5,10,15,10,1,2,27.77
2,32.3,16.7,8,69,6,1,3,17.91
5,12.6,18.9,2,38,10,1,1,29.56
1,22.1,21.2,9,10,3,0,2,13.35
4,17.3,19.5,2,66,17,0,3,19.77
4,15.2,24.1,2,26,15,1,3,27.18
2,19.6,17.8,6,45,3,0,5,20.41
2,8.2,25.7,3,50,12,0,4,16.77
1,34.6,23.6,3,2,11,0,3,11.21
5,29.0,25.6,2,17,4,0,3,30.58
5,26.5,24.2,7,50,2,0,4,35.04
2,17.5,16.6,1,24,15,1,4,18.8
1,7.0,20.8,3,2,5,0,2,9.72
1,32.4,16.9,6,3,10,1,3,13.2
1,13.3,24.0,5,59,5,0,3,13.55
5,3.7,21.4,7,12,13,0,1,30.39
5,13.3,17.9,3,9,1,1,5,38.29
1,28.2,25.2,7,41,7,1,3,19.67
4,22.5,16.3,8,10,11,0,2,28.21
1,26.8,21.2,4,47,9,0,4,11.84
2,28.2,22.9,3,40,12,1,4,19.98
3,9.0,15.6,6,47,3,0,5,27.74
4,32.5,21.6,6,36,9,1,1,21.27
5,16.5,24.0,1,56,15,0,3,27.11
1,23.1,15.7,6,47,7,1,1,10.81
1,2.1,20.6,2,31,3,0,3,11.81
2,34.8,17.8,6,3,17,1,3,12.65
2,11.3,22.3,10,21,16,1,3,21.48
5,4.0,16.3,6,11,14,0,5,34.74
4,17.1,25.3,8,3,16,0,3,27.58
2,6.3,24.8,4,21,16,1,3,17.14
5,7.0,17.0,10,16,15,1,1,29.78
3,22.9,18.6,9,7,10,0,2,24.74
3,15.0,21.5,10,23,0,1,5,35.41
3,32.4,22.9,8,37,12,1,3,29.04
1,12.5,19.9,7,14,5,0,5,20.84
5,26.0,16.7,6,21,16,1,3,28.9
1,17.2,16.1,10,3,9,0,3,14.98
1,23.8,26.0,9,5,19,1,3,19.03
2,21.8,20.0,5,13,12,0,3,17.58
2,17.6,24.6,1,33,11,1,1,15.6
1,33.4,20.3,1,48,19,1,1,6.1
1,13.3,25.1,3,57,9,1,3,16.19
4,7.8,16.0,1,46,7,1,3,30.42
5,24.4,16.3,3,45,7,1,3,34.88
1,29.9,25.2,2,67,18,1,3,8.38
2,3.3,25.4,10,19,15,1,2,19.35
3,16.8,18.5,1,57,3,0,4,24.86
5,31.5,18.9,7,67,10,0,4,32.8
4,26.7,20.0,4,41,7,0,1,17.78
4,34.7,19.6,2,60,13,1,3,24.83
3,19.5,17.1,8,11,1,1,4,31.28
3,23.8,24.9,10,63,14,0,4,29.29
1,12.0,17.8,8,41,15,0,2,10.64
5,33.3,22.8,10,17,4,1,5,41.56
5,14.1,15.7,6,6,3,1,4,35.61
1,26.4,15.4,7,52,13,1,3,15.16
4,15.3,22.2,2,32,5,0,4,30.49
1,20.5,18.7,9,23,19,0,5,18.08
4,25.8,22.2,8,29,16,0,2,22.95
5,18.8,16.0,3,71,20,1,1,23.78
1,31.9,25.4,4,31,11,1,3,13.6
3,15.8,23.2,7,7,19,1,1,23.2
1,23.4,24.6,1,21,0,0,5,18.59
3,13.3,16.5,9,12,6,0,5,31.78
5,15.5,18.5,3,50,0,1,4,33.85
1,16.5,19.1,1,58,14,1,5,19.76
2,6.2,20.9,4,60,10,0,1,8.13
5,5.0,18.3,9,46,6,1,4,40.11
2,24.0,15.7,3,55,6,1,3,15.74
1,23.6,19.1,6,31,13,0,2,11.19
3,23.9,17.8,9,45,3,1,2,29.58
3,2.7,19.2,1,9,10,1,3,24.69
4,12.8,17.2,8,39,12,1,4,35.02
2,8.5,17.9,3,41,5,0,1,11.71
5,27.7,21.9,7,4,4,1,4,36.64
3,30.4,19.3,2,40,7,0,5,24.95
2,10.1,18.8,2,52,12,1,1,13.18
5,24.0,20.9,8,27,5,0,5,39.06
5,6.3,23.5,9,40,7,1,4,42.24
3,11.1,19.2,10,22,11,1,2,29.31
1,6.6,21.5,7,20,3,0,4,20.36
3,11.4,25.6,5,11,11,0,4,26.25
3,24.3,20.7,2,24,2,0,4,24.37
1,32.0,25.0,3,58,2,1,1,7.96
4,8.7,23.7,7,67,4,1,1,28.98
5,19.9,15.6,4,46,6,1,4,35.2
1,25.1,19.7,5,45,0,0,2,7.7
4,33.4,22.7,2,44,20,0,2,19.48
1,22.1,25.9,5,35,6,0,3,13.7
4,10.4,20.0,3,31,16,1,4,28.52
3,22.6,16.0,2,45,18,1,1,20.75
1,12.6,21.2,2,56,16,0,5,11.9
5,34.2,16.4,6,30,17,0,3,24.75
1,15.2,23.3,4,41,2,1,1,14.01
3,24.6,20.6,1,34,7,1,1,21.89
1,2.8,23.0,6,21,15,0,5,16.65
5,15.2,24.6,2,22,12,1,1,31.33
4,30.9,21.9,1,7,0,0,3,22.9
5,22.1,21.7,2,32,11,0,4,31.37
3,16.7,23.3,5,51,16,0,3,17.8
3,32.9,24.3,10,49,17,1,2,20.43
4,30.2,24.6,3,70,8,1,1,22.0
4,12.6,15.4,3,4,4,0,4,26.71
5,20.0,21.1,3,55,6,1,3,33.1
1,18.2,17.4,4,57,6,1,1,9.72
4,22.9,24.5,8,32,7,1,1,30.0
1,13.0,22.1,4,21,6,1,3,16.92
2,10.1,19.6,7,26,9,0,1,15.2
5,32.1,17.1,9,49,0,0,2,27.26
2,32.5,18.7,10,62,5,0,1,9.41
4,29.8,22.7,6,46,6,0,4,27.75
3,34.3,17.2,8,37,3,0,4,26.58
2,26.6,16.0,10,47,18,0,4,15.61
2,27.2,24.8,8,6,14,1,1,17.71
3,27.2,23.4,3,44,19,0,2,16.41
4,17.9,17.2,2,4,11,0,2,23.71
4,17.1,18.2,2,69,2,0,4,25.15
5,9.9,25.7,9,64,18,0,5,37.16
5,23.3,22.8,6,37,9,1,2,32.94
4,11.5,21.7,3,28,14,1,4,32.54
4,10.5,18.4,4,53,8,0,3,23.45
2,21.3,18.3,3,46,10,1,5,23.65
3,15.5,15.4,9,51,10,1,1,24.29
1,9.2,23.0,7,38,5,1,5,26.92
2,28.9,15.5,9,18,11,0,3,15.93
5,30.4,15.1,4,7,15,1,2,27.26
3,7.5,23.0,5,21,0,1,1,24.68
1,2.2,25.4,2,39,2,1,5,21.79
4,13.1,23.3,10,31,17,0,5,32.53
5,28.3,20.2,6,37,11,1,1,26.78
5,29.7,20.3,6,21,20,0,3,24.82
2,6.6,19.8,5,67,12,0,4,16.67
3,27.6,18.6,3,27,13,1,3,22.8
3,5.8,20.7,10,61,18,1,1,19.95
2,14.9,19.7,5,29,13,0,2,14.19
2,35.0,21.6,7,33,6,1,2,18.4
2,8.4,24.9,1,44,11,1,2,19.6
5,7.1,25.9,3,20,4,1,5,39.64
4,16.0,15.9,9,17,7,0,2,27.5
5,22.4,19.2,1,28,14,0,4,32.27
5,32.8,17.0,2,58,3,1,5,34.11
5,34.4,18.9,9,12,14,1,4,36.38
1,4.3,18.2,4,32,12,1,4,18.85
5,6.6,16.9,3,49,6,1,1,27.96
1,28.1,23.4,6,51,0,1,1,8.65
3,10.9,20.5,2,32,14,1,4,27.99
3,31.2,25.1,1,7,17,0,4,20.08
2,23.9,15.4,1,3,15,1,4,18.38
1,5.7,15.7,1,34,8,0,3,11.66
1,29.5,19.4,2,58,13,1,3,12.01
5,7.8,15.9,7,3,8,0,1,31.86
2,16.0,17.9,3,64,7,1,2,15.59
2,20.2,25.8,1,49,6,0,3,13.4
5,18.5,17.3,1,2,4,0,1,25.77
1,24.6,17.2,5,26,20,0,1,5.54
5,23.5,21.3,9,17,13,0,1,30.14
5,34.7,20.5,4,68,3,1,2,26.28
3,35.0,21.4,1,40,18,0,5,21.81
1,19.0,19.1,3,24,3,1,4,18.29
1,5.1,24.1,5,21,12,1,5,23.53
2,26.0,16.5,2,41,3,1,2,13.7
3,34.2,19.7,10,2,7,0,3,25.03
1,12.5,22.6,8,20,13,0,5,21.49
3,17.2,24.6,4,13,20,0,2,18.08
1,16.0,19.1,10,45,20,0,4,16.38
3,3.7,21.2,4,48,18,0,4,22.67
1,24.2,15.8,2,34,4,1,5,19.73
4,13.7,16.9,10,11,1,0,5,34.02
1,28.0,15.8,10,27,19,0,4,12.19
1,29.5,23.0,4,61,19,0,3,6.46
1,29.1,18.2,6,16,5,0,5,15.17
5,15.7,23.0,2,13,0,0,4,33.95
1,12.6,15.7,7,9,13,0,2,14.2
3,26.7,24.5,7,59,1,1,4,28.4
3,28.4,24.2,8,10,0,1,3,28.58
3,18.2,16.0,6,42,19,1,2,22.31
4,31.5,15.3,8,71,10,1,3,28.66
5,6.7,15.6,6,46,2,1,4,35.5
2,31.0,24.4,9,30,13,0,5,22.25
5,5.2,17.6,2,16,7,0,3,29.32
2,7.1,21.0,5,2,11,0,1,9.89
5,19.6,19.7,5,12,18,0,5,33.09
3,4.2,23.8,6,68,4,0,3,21.99
4,3.7,20.4,2,12,13,0,2,24.91
5,2.0,20.5,4,3,17,0,4,29.72
4,16.4,25.9,10,59,8,1,2,30.37
5,27.6,16.7,2,31,20,1,2,26.91
3,3.1,24.1,7,26,9,1,5,33.86
1,23.5,15.6,7,52,9,0,5,19.16
3,29.2,20.3,5,38,18,0,3,17.06
1,7.5,24.7,1,66,13,1,2,14.59
5,6.8,22.3,1,34,18,0,5,34.27
2,30.4,22.5,3,51,16,0,1,3.79
2,29.2,17.9,2,63,14,0,4,13.79
2,19.8,19.6,1,34,5,0,3,14.89
4,29.0,19.0,2,21,8,1,5,30.28
3,5.1,20.7,2,70,18,1,3,21.26
5,15.0,20.1,9,17,12,0,5,38.84
3,26.3,18.6,7,4,5,0,1,20.93
2,10.5,18.4,1,42,6,1,4,21.07
1,26.8,17.8,7,71,16,1,1,8.36
1,18.6,19.0,2,8,3,1,4,19.02
2,26.8,16.6,5,61,2,0,1,7.07
5,17.3,24.6,1,60,16,1,5,35.63
3,14.1,21.6,1,67,6,1,4,27.44
